source,year,store,item,price_usd_low,price_usd_high,unit,brand_low,brand_high,note,quality_flag
tableau_grocerygraph_2021,2021,Food Story Natural Market,Chicken Breast (per lb),15.99,,per lb,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Shop Fair,Coffee,1.67,,pack,Cafe Eldorado,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Bazaar,Coffee,1.99,,pack,Cafe Aroma,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Key Food,Coffee,2.19,,pack,Cafe Aroma,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Associated Supermarkets (Brooklyn),Coffee,3.69,,pack,Folgers,,lowest-price option per Tableau viz,dup_from_billys_in_source_sheet
tableau_grocerygraph_2021,2021,Billy's Marketplace (C Town),Coffee,3.69,,pack,Folgers,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Story Natural Market,Coffee,3.99,,pack,Cafe Bustelo,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Mr. Fruit Stores,Coffee,3.99,,pack,Cafe Bustelo,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Met Fresh,Coffee,5.29,,pack,Folgers,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,City Fresh Market,Coffee,5.99,,pack,Folgers,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Hana Natural,Coffee,7.99,,pack,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Billy's Marketplace (C Town),Eggs (Dozen),1.39,,dozen,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Bazaar,Eggs (Dozen),1.59,,dozen,Ebenshade,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Key Food,Eggs (Dozen),1.67,,dozen,Sunshine Farms,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Met Fresh,Eggs (Dozen),1.69,,dozen,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,City Fresh Market,Eggs (Dozen),1.89,,dozen,Mitlitsky,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Mr. Fruit Stores,Eggs (Dozen),1.99,,dozen,Saunders Amish Eggs,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Associated Supermarkets (Brooklyn),Eggs (Dozen),2.0,,dozen,(unknown),,lowest-price option per Tableau viz,dup_from_billys_in_source_sheet
tableau_grocerygraph_2021,2021,Shop Fair,Eggs (Dozen),2.0,,dozen,Sunshine Farms,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Food Story Natural Market,Eggs (Dozen),2.69,,dozen,Pine Belt Eggs,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Hana Natural,Eggs (Dozen),4.29,,dozen,(unknown),,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Key Food,Milk (1/2 Gallon),2.29,,half gallon,Farmland,,lowest-price option per Tableau viz,
tableau_grocerygraph_2021,2021,Shop Fair,Milk (1/2 Gallon),2.69,,half gallon,Cream-o-Land,,lowest-price option per Tableau viz,
